Unnamed: 0,Amount per serving,% Daily Value*
"Calcium, mg : 380",380.0,30
"Iron, mg : 4.5",4.5,25
"Potassium, mg : 180",180.0,4
Phosphorus :,,20
Iodine :,,20
Magnesium :,,4
Zinc :,,35
Selenium :,,50
Copper :,,20
Manganese :,,25
Molybdenum :,,70
