,SKU5697578
"Calcium, mg",105
"Calcium, mEq",5.2
"Phosphorus, mg",75
"Magnesium, mg",7.5
"Iron, mg",1.8
"Zinc, mg",0.75
"Manganese, mcg",25
"Copper, mcg",75
"Iodine, mcg",15
"Selenium, mcg",2
"Sodium, mg",44
"Sodium, mEq",1.9
"Potassium, mg",108
"Potassium, mEq",2.8
"Chloride, mg",62
"Chloride, mEq",1.8
