,SKU54598p50
"Calcium, mg",29
"Calcium, mEq",1.46
"Phosphorus, mg",16
"Magnesium, mg",1.7
"Iron, mg",0.08*
"Zinc, mg",0.25
"Manganese, mcg",1.8
"Copper, mcg",43
"Iodine, mcg",0.8
"Selenium, mcg",0.1
"Sodium, mg",4
"Sodium, mEq",0.16
"Potassium, mg",16
"Potassium, mEq",0.40
"Chloride, mg",9
"Chloride, mEq",0.27
