Unnamed: 0,Amount per serving,% Daily Value*
"Calcium, mg : 180",180.0,
"Calcium, mEq : 9.0",9.0,
"Phosphorus, mg : 100",100.0,
"Magnesium, mg : 12",12.0,
"Iron, mg : 1.8",1.8,
"Zinc, mg : 1.5",1.5,
"Manganese, mcg : 12",12.0,
"Copper, mcg : 250",250.0,
"Iodine, mcg : 6",6.0,
"Selenium, mcg : 2",2.0,
"Sodium, mg : 43",43.0,
"Sodium, mEq : 1.9",1.9,
"Potassium, mg : 129",129.0,
"Potassium, mEq : 3.3",3.3,
"Chloride, mg : 81",81.0,
"Chloride, mEq : 2.3",2.3,
