,SKU5081978
"Calcium, mg",110
"Calcium, mEq",5.5
"Phosphorus, mg",79
"Magnesium, mg",7.9
"Iron, mg",1.9
"Zinc, mg",0.79
"Manganese, mcg",25
"Copper, mcg",79
"Iodine, mcg",16
"Selenium, mcg",2
"Sodium, mg",46
"Sodium, mEq",2
"Potassium, mg",110
"Potassium, mEq",2.8
"Chloride, mg",65
"Chloride, mEq",1.8
