Unnamed: 0,Amount per serving,% Daily Value*
"Calcium, mg : 105",105.0,
"Calcium, mEq : 5.3",5.3,
"Phosphorus, mg : 70",70.0,
"Magnesium, mg : 6",6.0,
"Iron, mg : 1.9",1.9,
"Zinc, mg : 0.79",0.79,
"Manganese, mcg : 5",5.0,
"Copper, mcg : 95",95.0,
"Iodine, mcg : 9",9.0,
"Selenium, mcg : 2",2.0,
"Sodium, mg : 46",46.0,
"Sodium, mEq : 2",2.0,
"Potassium, mg : 121",121.0,
"Potassium, mEq : 3.1",3.1,
"Chloride, mg : 68",68.0,
"Chloride, mEq : 1.9",1.9,
