Unnamed: 0,Amount per serving,% Daily Value*
"Calcium, mg : 130",130.0,10
"Iron, mg : 2.7",2.7,15
"Potassium, mg : 280",280.0,6
Phosphorus :,,15
Iodine :,,20
Magnesium :,,15
Zinc :,,15
Selenium :,,10
Copper :,,20
Manganese :,,15
Chromium :,,35
Molybdenum :,,20
Chloride :,,15
