,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 70,70,
1,"Total Fat, g : 0",0,0.0
2,"Total Carbohydrate, g : 16",16,6.0
3,"Total Sugars, g : 16",16,
4,"Added Sugars, g : 16",16,32.0
5,"Protein, g : 0",0,
