Unnamed: 0,Amount per serving,% Daily Value*
Calcium :,,10
Iron :,,6
Phosphorus :,,15
Magnesium :,,10
Zinc :,,20
Selenium :,,25
Chromium :,,30
Molybdenum :,,30
