Unnamed: 0,Amount per serving,% Daily Value*
"Calcium, mg : 105",105.0,
"Calcium, mEq : 5.2",5.2,
"Phosphorus, mg : 62",62.0,
"Magnesium, mg : 9",9.0,
"Iron, mg : 1.8",1.8,
"Zinc, mg : 1.2",1.2,
"Manganese, mcg : 10",10.0,
"Copper, mcg : 120",120.0,
"Iodine, mcg : 15",15.0,
"Selenium, mcg : 2.3",2.3,
"Sodium, mg : 33",33.0,
"Sodium, mEq : 1.4",1.4,
"Potassium, mg : 142",142.0,
"Potassium, mEq : 3.6",3.6,
"Chloride, mg : 75",75.0,
"Chloride, mEq : 2.1",2.1,
