,SKU66923
"Calcium, mg",105
"Calcium, mEq",5.2
"Phosphorus, mg",62
"Magnesium, mg",9
"Iron, mg",1.8
"Zinc, mg",1.2
"Manganese, mcg",10
"Copper, mcg",120
"Iodine, mcg",15
"Selenium, mcg",2.3
"Sodium, mg",33
"Sodium, mEq",1.4
"Potassium, mg",142
"Potassium, mEq",3.6
"Chloride, mg",75
"Chloride, mEq",2.1
