,Unnamed: 0,Amount per serving,% Daily Value*
0,"Calcium, mg : 88",88.0,
1,"Calcium, mEq : 4.4",4.4,
2,"Phosphorus, mg : 59",59.0,
3,"Magnesium, mg : 6",6.0,
4,"Iron, mg : 1.9",1.9,
5,"Zinc, mg : 0.79",0.79,
6,"Manganese, mcg : 5",5.0,
7,"Copper, mcg : 95",95.0,
8,"Iodine, mcg : 15",15.0,
9,"Selenium, mcg : 2",2.0,
10,"Sodium, mg : 32",32.0,
11,"Sodium, mEq : 1.4",1.4,
12,"Potassium, mg : 110",110.0,
13,"Potassium, mEq : 2.8",2.8,
14,"Chloride, mg : 68",68.0,
15,"Chloride, mEq : 1.9",1.9,
