,FEATURES,FEATURES.1,FEATURES.2
0,Energy Density,1.2 kcal/ml,5.0 kJ/ml
1,Energy Distribution,Energy Distribution,Energy Distribution
2,Protein,18%,Calcium and Sodium Caseinates
3,Carbohydrate,52%,Maltodextrin
4,Fat,30%,"Rapeseed Oil, High Oleic Sunflower Oil, Sunflower Oil, Soy Lecithin and Medium Chain Triglycerides (MCT 20% of Fat)"
5,Dietary Fibre,(Soluble and Insoluble),10.0g per 1000mL
6,Glycaemic Index,.........................................,57
7,Nonprotein Calorie: Nitrogen Ratio,.........................................,118:1
8,Calorie: Nitrogen Ratio,.........................................,144:1
9,P:S Ratio,.........................................,1:1
10,Osmolality,.........................................,366m0sm/kg Water
11,Water Content,.........................................,183 mL/237 mL
12,Osmolarity,.........................................,284m0sm/L
13,,,
