Unnamed: 0,Amount per serving,% Daily Value*
Calories : 240,240,
"Total Fat, g : 0",0,0
"Saturated Fat, g : 0",0,0
"Trans Fat, g : 0",0,
"Cholesterol, mg : 5",5,<2
"Sodium, mg : 70",70,3
"Total Carbohydrate, g : 52",52,19
"Dietary Fiber, g : 0",0,0
"Total Sugars, g : 30",30,
"Added Sugars, g : 30",30,60
"Protein, g : 8",8,16
