,SKU56308,nutrient,metric
0,100.0,Calories,
1,155.5,Volume, mL
2,2.45,Protein, g
3,5.46,Fat, g
4,10.4,Carbohydrate, g
5,141.0,Water, g
6,1000.0,Linoleic Acid, mg
