,SKU62836p12
Calories,180
Calories from Fat,45
"Total Fat, g",5
"Saturated Fat, g",2.5
"Trans Fat, g",0
"Cholesterol, mg",30
"Sodium, mg",170
"Potassium, mg",85
"Total Carbohydrate, g",24
"Dietary Fiber, g",<1
"Sugars, g",18
"Protein, g",10
