,SKU53359e,nutrient,metric
0,100.0,Calories,
1,156.0,Volume, mL
2,2.07,Protein, g
3,5.6,Fat, g
4,10.7,Carbohydrate, g
5,141.0,Water, g
6,1000.0,Linoleic Acid, mg
