,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 250,250,
1,Calories from Fat : 80,80,
2,"Fat, g : 9",9,14
3,"Saturated Fat, g : 1.5",1.5,8
4,"Trans Fat, g : 0",0,
5,"Cholesterol, mg : <5",<5,<2
6,"Sodium, mg : 190",190,8
7,"Potassium, mg : 350",350,10
8,"Carbohydrate, g : 34",34,11
9,"Dietary Fiber, g : 0",0,0
10,"Sugars, g : 13",13,
11,"Protein, g : 9",9,18
