,SKU57801
Calories,180
"Total Fat, g",9
"Saturated Fat, g",1
"Trans Fat, g",0
"Polyunsaturated Fat, g",4
"Monounsaturated Fat, g",4
"Cholesterol, mg",<5
"Sodium, mg",210
"Total Carbohydrate, g",16
"Dietary Fiber, g",4
"Total Sugars, g",4
"Added Sugars, g",4
"Protein, g",10
