Unnamed: 0,Amount per serving,% Daily Value*
Calories : 350,350,
"Total Fat, g : 11",11,14
"Saturated Fat, g : 1",1,5
"Trans Fat, g : 0",0,
"Polyunsaturated Fat, g : 4",4,
"Monounsaturated Fat, g : 5",5,
"Cholesterol, mg : 10",10,3
"Sodium, mg : 210",210,9
"Total Carbohydrate, g : 50",50,18
"Dietary Fiber, g : <1",<1,<3
"Total Sugars, g : 20",20,
"Added Sugars, g : 19",19,39
"Protein, g : 13",13,26
