Unnamed: 0,Amount per serving,% Daily Value*
Calories : 210,210,
Calories from Fat : 60,60,
"Total Fat, g : 7",7,11
"Saturated Fat, g : 4.5",4.5,23
"Trans Fat, g : 0",0,
"Cholesterol, mg : <5",<5,<2
"Sodium, mg : 200",200,8
"Potassium, mg : 80",80,2
"Total Carbohydrate, g : 24",24,8
"Dietary Fiber, g : 3",3,12
"Sugars, g : 14",14,
"Protein, g : 14",14,28
