,SKU63214p12
Calories,190
Calories from Fat,50
"Total Fat, g",6
"Saturated Fat, g",5
"Trans Fat, g",0
"Cholesterol, mg",<5
"Sodium, mg",210
"Potassium, mg",160
"Total Carbohydrate, g",22
"Dietary Fiber, g",1
"Sugars, g",14
"Protein, g",12
