Unnamed: 0,Amount per serving,% Daily Value*
Calories : 210,210,
Calories from Fat : 60,60,
"Total Fat, g : 7",7,11
"Saturated Fat, g : 4",4,20
"Trans Fat, g : 0",0,
"Cholesterol, mg : <5",<5,<2
"Sodium, mg : 270",270,11
"Potassium, mg : 130",130,4
"Total Carbohydrate, g : 24",24,8
"Dietary Fiber, g : 3",3,12
"Sugars, g : 15",15,
"Protein, g : 14",14,28
