,SKU63282
Calories,210
Calories from Fat,60
"Total Fat, g",7
"Saturated Fat, g",4.5
"Trans Fat, g",0
"Cholesterol, mg",<5
"Sodium, mg",200
"Potassium, mg",80
"Total Carbohydrate, g",24
"Dietary Fiber, g",3
"Sugars, g",14
"Protein, g",14
