,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 220,220,
1,"Total Fat, g : 6",6,8
2,"Saturated Fat, g : 1",1,5
3,"Trans Fat, g : 0",0,
4,"Polyunsaturated Fat, g : 2",2,
5,"Monounsaturated Fat, g : 3",3,
6,"Cholesterol, mg : <5",<5,<2
7,"Sodium, mg : 210",210,9
8,"Total Carbohydrate, g : 32",32,12
9,"Dietary Fiber, g : <1",<1,<3
10,"Total Sugars, g : 15",15,
11,"Added Sugars, g : 14",14,28
12,"Protein, g : 9",9,18
13,"Folic Acid, mcg : 60",60,
