,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 100,100.0,
1,"Volume, mL : 148",148.0,
2,"Protein, g : 2.07",2.07,
3,"Fat, g : 5.63",5.63,
4,"Carbohydrate, g : 10.4",10.4,
5,"Water, g : 133",133.0,
6,"Linoleic Acid, mg : 860",860.0,
