,SKU67165
Calories,150
"Total Fat, g",1.5
"Saturated Fat, g",0.5
"Trans Fat, g",0
"Cholesterol, mg",20
"Sodium, mg",140
"Total Carbohydrate, g",6
"Dietary Fiber, g",2
"Total Sugars, g",1
"Added Sugars, g",0
"Protein, g",30
