,SKU67417
"Protein, g",10.7
"Fat, g",14.4
"Saturated Fat, g",8
"Trans Fat, g",0
"Polyunsaturated Fat, g",1.0
"Monounsaturated Fat, g",2.5
"Cholesterol, mg",15
"Carbohydrate, g",47.6
"Dietary Fiber, g",1*
"Total Sugars, g",2
"Added Sugars, g",2
"L-Carnitine, mg",6.0
"Taurine, mg",45
"Water, g",182
Calories,356
