,Unnamed: 0,Amount per serving,% Daily Value*
0,"Protein, g : 7",7,
1,"Fat, g : 9.6",9.6,
2,"Saturated Fat, g : 5",5,
3,"Trans Fat, g : 0",0,
4,"Polyunsaturated Fat, g : 0.5",0.5,
5,"Monounsaturated Fat, g : 1.5",1.5,
6,"Cholesterol, mg : 10",10,
7,"Carbohydrate, g : 31.7",31.7,
8,"Dietary Fiber, g : 0.7<sup>*</sup>",0.7*,
9,"Total Sugars, g : 7",7,
10,"Added Sugars, g : 7",7,
11,"L-Carnitine, mg : 4.0",4.0,
12,"Taurine, mg : 30",30,
13,"Water, g : 201",201,
14,Calories : 237,237,
