,SKU63225
Calories,190
Calories from Fat,50
"Total Fat, g",6
"Saturated Fat, g",4
"Trans Fat, g",0
"Cholesterol, mg",<5
"Sodium, mg",200
"Potassium, mg",170
"Total Carbohydrate, g",22
"Dietary Fiber, g",2
"Sugars, g",13
"Protein, g",12
