Unnamed: 0,Amount per serving,% Daily Value*
Calories : 210,210,
Calories from Fat : 60,60,
"Total Fat, g : 7",7,11
"Saturated Fat, g : 3.5",3.5,18
"Trans Fat, g : 0",0,
"Cholesterol, mg : <5",<5,<2
"Sodium, mg : 260",260,11
"Potassium, mg : 150",150,4
"Total Carbohydrate, g : 23",23,8
"Dietary Fiber, g : 1",1,4
"Sugars, g : 17",17,
"Protein, g : 15",15,30
