,SKU57266
Calories,350
"Total Fat, g",11
"Saturated Fat, g",1.5
"Trans Fat, g",0
"Polyunsaturated Fat, g",4
"Monounsaturated Fat, g",5
"Cholesterol, mg",10
"Sodium, mg",210
"Total Carbohydrate, g",51
"Dietary Fiber, g",1
"Total Sugars, g",22
"Added Sugars, g",21
"Protein, g",13
