Unnamed: 0,Amount per serving,% Daily Value*
Calories : 100,100.0,
"Volume, mL : 156",156.0,
"Protein, g : 2.1",2.1,
"Fat, g : 5.4",5.4,
"Carbohydrate, g : 10.9",10.9,
"Water, g : 141",141.0,
"Linoleic Acid, mg : 1000",1000.0,
