,SKU67151
Calories,150
"Total Fat, g",8
"Trans Fat, g",0
"Sodium, mg",45
"Potassium, mg",230
"Total Carbohydrate, g",16
"Dietary Fiber, g",<1
"Sugars, g",15
"Protein, g",4
