,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 210,210,
1,Calories from Fat : 60,60,
2,"Total Fat, g : 7",7,11
3,"Saturated Fat, g : 4",4,20
4,"Trans Fat, g : 0",0,
5,"Cholesterol, mg : <5",<5,<2
6,"Sodium, mg : 200",200,8
7,"Potassium, mg : 90",90,3
8,"Total Carbohydrate, g : 23",23,8
9,"Dietary Fiber, g : 3",3,12
10,"Sugars, g : 15",15,
11,"Protein, g : 14",14,28
