Unnamed: 0,Amount per serving,% Daily Value*
Calories : 80,80.0,
"Total Fat, g : 3.5",3.5,4.0
"Saturated Fat, g : 1.5",1.5,8.0
"Trans Fat, g : 0",0.0,
"Cholesterol, mg : 0",0.0,0.0
"Sodium, mg : 50",50.0,2.0
"Total Carbohydrate, g : 10",10.0,4.0
"Dietary Fiber, g : 2",2.0,7.0
"Total Sugars, g : 3",3.0,
"Added Sugars, g : 3",3.0,6.0
"Sugar Alcohols, g : 4",4.0,
"Protein, g : 3",3.0,6.0
