,SKU67067
Calories,250
"Total Fat, g",11
"Saturated Fat, g",1
"Trans Fat, g",0
"Polyunsaturated Fat, g",3.5
"Monounsaturated Fat, g",6
"Cholesterol, mg",15
"Sodium, mg",440
"Total Carbohydrate, g",18
"Dietary Fiber, g",6
"Total Sugars, g",9
"Added Sugars, g",8
"Protein, g",23
