Unnamed: 0,Amount per serving,% Daily Value*
Calories : 100,100.0,
"Volume, mL : 148",148.0,
"Protein, g : 2.07",2.07,
"Fat, g : 5.6",5.6,
"Carbohydrate, g : 10.5",10.5,
"Water, g : 134",134.0,
"Linoleic Acid, mg : 1000",1000.0,
