,SKU67070
Calories,250
"Total Fat, g",11
"Saturated Fat, g",2
"Trans Fat, g",0
"Polyunsaturated Fat, g",3
"Monounsaturated Fat, g",6
"Cholesterol, mg",15
"Sodium, mg",420
"Total Carbohydrate, g",21
"Dietary Fiber, g",7
"Total Sugars, g",8
"Added Sugars, g",8
"Protein, g",23
