,SKU66534
Calories,180
"Total Fat, g",8
"Saturated Fat, g",1
"Trans Fat, g",0
"Polyunsaturated Fat, g",2.5
"Monounsaturated Fat, g",4
"Cholesterol, mg",10
"Sodium, mg",300
"Total Carbohydrate, g",14
"Dietary Fiber, g",4
"Total Sugars, g",6
"Added Sugars, g",6
"Protein, g",15
