,SKU66040
Calories,180
Calories from Fat,70
"Total Fat, g",8
"Saturated Fat, g",4
"Trans Fat, g",0
"Cholesterol, mg",30
"Sodium, mg",150
"Potassium, mg",80
"Total Carbohydrate, g",18
"Dietary Fiber, g",1
"Sugars, g",10
"Protein, g",10
