,SKU57508
Calories,100
"Volume, mL",148
"Protein Equivalent, g",2.75
"Fat, g",5.54
"Carbohydrate, g",10.2
"Water, g",133
"Linoleic Acid, mg",1900
"Potential Renal Solute Load, mOsm",25.3
