,SKU67151e,nutrient,metric
0,150,Calories,
1,8,Total Fat, g
2,0,Trans Fat, g
3,45,Sodium, mg
4,230,Potassium, mg
5,16,Total Carbohydrate, g
6,<1,Dietary Fiber, g
7,15,Sugars, g
8,4,Protein, g
