,SKU63304
Calories,200
Calories from Fat,50
"Total Fat, g",6
"Saturated Fat, g",4
"Trans Fat, g",0
"Cholesterol, mg",<5
"Sodium, mg",200
"Potassium, mg",75
"Total Carbohydrate, g",25
"Dietary Fiber, g",3
"Sugars, g",16
"Protein, g",14
