,SKU64296
Calories,350
"Total Fat, g",11
"Saturated Fat, g",1.5
"Trans Fat, g",0
"Polyunsaturated Fat, g",3.5
"Monounsaturated Fat, g",5
"Cholesterol, mg",10
"Sodium, mg",260
"Total Carbohydrate, g",45
"Dietary Fiber, g",3
"Total Sugars, g",22
"Added Sugars, g",22
"Protein, g",20
