Unnamed: 0,Amount per serving,% Daily Value*
Calories : 250,250,
Calories from Fat : 80,80,
"Fat, g : 9",9,14
"Saturated Fat, g : 1.5",1.5,8
"Trans Fat, g : 0",0,
"Cholesterol, mg : <5",<5,<2
"Sodium, mg : 190",190,8
"Potassium, mg : 350",350,10
"Carbohydrate, g : 34",34,11
"Dietary Fiber, g : 0",0,0
"Sugars, g : 13",13,
"Protein, g : 9",9,18
