,SKU58049
Calories,240
"Total Fat, g",9
"Saturated Fat, g",1
"Trans Fat, g",0
"Polyunsaturated Fat, g",2.5
"Monounsaturated Fat, g",4.5
"Cholesterol, mg",5
"Sodium, mg",90
"Total Carbohydrate, g",33
"Dietary Fiber, g",<1
"Total Sugars, g",12
"Added Sugars, g",11
"Protein, g",7
