,SKU67330
Calories,160
"Total Fat, g",2
"Saturated Fat, g",0.5
"Trans Fat, g",0
"Polyunsaturated Fat, g",0.5
"Monounsaturated Fat, g",1
"Cholesterol, mg",20
"Sodium, mg",210
"Total Carbohydrate, g",19
"Dietary Fiber, g",<1
"Total Sugars, g",4
"Added Sugars, g",4
"Protein, g",16
