,SKU63305
Calories,200
Calories from Fat,60
"Total Fat, g",7
"Saturated Fat, g",2.5
"Trans Fat, g",0
"Cholesterol, mg",<5
"Sodium, mg",300
"Potassium, mg",115
"Total Carbohydrate, g",23
"Dietary Fiber, g",<1
"Sugars, g",14
"Protein, g",10
