,SKU66937e,nutrient,metric
0,100.0,Calories,
1,156.0,Volume, mL
2,2.32,Protein, g
3,5.4,Fat, g
4,11.0,Carbohydrate, g
5,141.0,Water, g
6,1000.0,Linoleic Acid, mg
