,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 240,240,
1,"Total Fat, g : 9",9,12
2,"Saturated Fat, g : 1",1,5
3,"Trans Fat, g : 0",0,
4,"Polyunsaturated Fat, g : 2.5",2.5,
5,"Monounsaturated Fat, g : 4.5",4.5,
6,"Cholesterol, mg : 5",5,<2
7,"Sodium, mg : 90",90,4
8,"Total Carbohydrate, g : 33",33,12
9,"Dietary Fiber, g : <1",<1,<2
10,"Total Sugars, g : 12",12,
11,"Added Sugars, g : 11",11,22
12,"Protein, g : 7",7,14
