,SKU64920
"Protein, g",19.6
"Fat, g",17.8
"Saturated Fat, g",1.5
"Polyunsaturated Fat, g",3.8
"Monounsaturated Fat, g",12.5
"Carbohydrate, g",31.5
"Dietary Fiber, g",3.8*
"Water, g",180
Calories,356
"Taurine, mg",40
"L-Carnitine, mg",51
