,SKU63505
Calories,200
Calories from Fat,80
"Total Fat, g",9
"Saturated Fat, g",4.5
"Trans Fat, g",0
"Cholesterol, mg",10
"Sodium, mg",300
"Potassium, mg",90
"Total Carbohydrate, g",19
"Dietary Fiber, g",<1
"Sugars, g",14
"Protein, g",11
