,SKU63299
Calories,210
Calories from Fat,60
"Total Fat, g",7
"Saturated Fat, g",3.5
"Trans Fat, g",0
"Cholesterol, mg",<5
"Sodium, mg",260
"Potassium, mg",150
"Total Carbohydrate, g",23
"Dietary Fiber, g",1
"Sugars, g",17
"Protein, g",15
