,SKU59738,nutrient,metric
0,100.0,Calories,
1,148.0,Volume, mL
2,2.75,Protein Equivalent, g
3,5.54,Fat, g
4,10.2,Carbohydrate, g
5,133.0,Water, g
6,1900.0,Linoleic Acid, mg
7,25.3,Potential Renal Solute Load, mOsm
