Unnamed: 0,Amount per serving,% Daily Value*
Calories : 200,200,
Calories from Fat : 80,80,
"Total Fat, g : 9",9,14
"Saturated Fat, g : 4.5",4.5,23
"Trans Fat, g : 0",0,
"Cholesterol, mg : 10",10,3
"Sodium, mg : 300",300,13
"Potassium, mg : 90",90,3
"Total Carbohydrate, g : 19",19,6
"Dietary Fiber, g : <1",<1,<4
"Sugars, g : 14",14,
"Protein, g : 11",11,22
