,SKU66923e,nutrient,metric
0,100.0,Calories,
1,134.42,Volume, mL
2,2.8,Protein, g
3,5.5,Fat, g
4,10.1,Carbohydrate, g
5,120.0,Water, g
6,750.0,Linoleic Acid, mg
