,SKU62139,nutrient,metric
0,100.0,Calories,
1,155.5,Volume, mL
2,2.14,Protein, g
3,5.4,Fat, g
4,11.0,Carbohydrate, g
5,140.0,Water, g
6,1000.0,Linoleic Acid, mg
7,20.3,Potential Renal Solute Load, mOsm
