Unnamed: 0,Amount per serving,% Daily Value*
Calories : 240,240.0,
"Total Fat, g : 9",9.0,12
"Saturated Fat, g : 1.5",1.5,8
"Trans Fat, g : 0",0.0,
"Polyunsaturated Fat, g : 2.5",2.5,
"Monounsaturated Fat, g : 4.5",4.5,
"Cholesterol, mg : 5",5.0,<2
"Sodium, mg : 90",90.0,4
"Total Carbohydrate, g : 33",33.0,12
"Dietary Fiber, g : 1",1.0,4
"Total Sugars, g : 14",14.0,
"Added Sugars, g : 13",13.0,27
"Protein, g : 7",7.0,14
