,item_type,Flavours
3397,SKU#:62836,Strawberry Yogurt
2470,SKU#:62836,Fudge Graham
2454,SKU#:62836p12,Fudge Graham
2763,SKU#:62836p12,Oatmeal Chocolate Chunk
2145,SKU#:62836p12,Double Dark Chocolate
1218,SKU#:62836p12,Chocolate Peanut Butter
600,SKU#:62836p12,Chocolate Chip Cookie Dough
291,SKU#:62836p12,Chocolate Almond Raisin
3999,SKU#:62836p12,Sweet & Salty Cashew Pretzel
3690,SKU#:62836p12,Chocolate Caramel Cluster
909,SKU#:62836p12,Chocolate Mint
3072,SKU#:62836p12,Salted Caramel Brownie
3381,SKU#:62836p12,Strawberry Yogurt
1527,SKU#:62836p12,Cinnamon Roll
1836,SKU#:62836p12,Dark Chocolate Almond
250,SKU#:62882,Homemade Vanilla
2104,SKU#:62882,None
559,SKU#:62882,Rich Chocolate
868,SKU#:62882,Creamy Strawberry
2101,SKU#:62885,None
556,SKU#:62885,Homemade Vanilla
247,SKU#:62885,Rich Chocolate
865,SKU#:62885,Creamy Strawberry
1611,SKU#:62951,nan
1275,SKU#:62951e,nan
988,SKU#:63013,nan
2197,SKU#:63013e,nan
1126,SKU#:63057,Tropical Fruit
3598,SKU#:63057,None
508,SKU#:63057,Blue Raspberry
199,SKU#:63057,Cherry Punch
817,SKU#:63057,Strawberry Lemonade
1158,SKU#:63057e,Tropical Fruit
3630,SKU#:63057e,None
540,SKU#:63057e,Blue Raspberry
231,SKU#:63057e,Cherry Punch
849,SKU#:63057e,Strawberry Lemonade
198,SKU#:63059,Blue Raspberry
3906,SKU#:63059,None
1125,SKU#:63059,Tropical Fruit
816,SKU#:63059,Strawberry Lemonade
507,SKU#:63059,Cherry Punch
543,SKU#:63059e,Strawberry Lemonade
3942,SKU#:63059e,None
852,SKU#:63059e,Tropical Fruit
1161,SKU#:63059e,Cherry Punch
234,SKU#:63059e,Blue Raspberry
3087,SKU#:63161,Salted Caramel Brownie
924,SKU#:63161,Chocolate Mint
1851,SKU#:63161,Dark Chocolate Almond
615,SKU#:63161,Chocolate Chip Cookie Dough
1233,SKU#:63161,Chocolate Peanut Butter
306,SKU#:63161,Chocolate Almond Raisin
2469,SKU#:63161,Fudge Graham
1542,SKU#:63161,Cinnamon Roll
3705,SKU#:63161,Chocolate Caramel Cluster
3396,SKU#:63161,Strawberry Yogurt
2778,SKU#:63161,Oatmeal Chocolate Chunk
2160,SKU#:63161,Double Dark Chocolate
4014,SKU#:63161,Sweet & Salty Cashew Pretzel
1220,SKU#:63161p12,Chocolate Peanut Butter
2456,SKU#:63161p12,Fudge Graham
3692,SKU#:63161p12,Chocolate Caramel Cluster
293,SKU#:63161p12,Chocolate Almond Raisin
911,SKU#:63161p12,Chocolate Mint
3074,SKU#:63161p12,Salted Caramel Brownie
1529,SKU#:63161p12,Cinnamon Roll
602,SKU#:63161p12,Chocolate Chip Cookie Dough
2765,SKU#:63161p12,Oatmeal Chocolate Chunk
4001,SKU#:63161p12,Sweet & Salty Cashew Pretzel
2147,SKU#:63161p12,Double Dark Chocolate
1838,SKU#:63161p12,Dark Chocolate Almond
