,item_type,Flavours
2502,SKU#:66923,nan
934,SKU#:66923e,nan
29,SKU#:66937,nan
3412,SKU#:66937e,nan
1269,SKU#:66939,nan
2181,SKU#:66939e,nan
771,SKU#:66959,Chocolate
2007,SKU#:66959,None
462,SKU#:66959,Strawberry
153,SKU#:66959,Vanilla
151,SKU#:66959e,Vanilla
1078,SKU#:66959e,None
769,SKU#:66959e,Chocolate
460,SKU#:66959e,Strawberry
2321,SKU#:66960,None
158,SKU#:66960,Chocolate
467,SKU#:66960,Strawberry
776,SKU#:66960,Vanilla
2628,SKU#:66960e,None
774,SKU#:66960e,Vanilla
465,SKU#:66960e,Strawberry
156,SKU#:66960e,Chocolate
1702,SKU#:66961,None
775,SKU#:66961,Vanilla
466,SKU#:66961,Chocolate
157,SKU#:66961,Strawberry
1700,SKU#:66961e,None
155,SKU#:66961e,Strawberry
464,SKU#:66961e,Chocolate
773,SKU#:66961e,Vanilla
213,SKU#:66969,Berry Frost
522,SKU#:66969,Strawberry Freeze
2067,SKU#:66969,None
831,SKU#:66969,Orange Breeze
1140,SKU#:66969,Variety - Berry Frost & Strawberry Freeze
197,SKU#:66969p6,Berry Frost
2978,SKU#:66969p6,None
1124,SKU#:66969p6,Variety - Berry Frost & Strawberry Freeze
815,SKU#:66969p6,Strawberry Freeze
506,SKU#:66969p6,Orange Breeze
211,SKU#:66972,Strawberry Freeze
2374,SKU#:66972,None
1138,SKU#:66972,Variety - Berry Frost & Strawberry Freeze
520,SKU#:66972,Berry Frost
829,SKU#:66972,Orange Breeze
3940,SKU#:66972p6,None
1159,SKU#:66972p6,Variety - Berry Frost & Strawberry Freeze
232,SKU#:66972p6,Strawberry Freeze
541,SKU#:66972p6,Berry Frost
850,SKU#:66972p6,Orange Breeze
642,SKU#:67010,nan
953,SKU#:67010e,nan
32,SKU#:67012,nan
3346,SKU#:67067,None
256,SKU#:67067,Homemade Vanilla
565,SKU#:67067,Rich Chocolate
3036,SKU#:67070,None
564,SKU#:67070,Homemade Vanilla
255,SKU#:67070,Rich Chocolate
3121,SKU#:67148,nan
330,SKU#:67151,nan
3731,SKU#:67151e,nan
419,SKU#:67165,nan
1688,SKU#:67214,nan
454,SKU#:67217,nan
858,SKU#:67220,None
549,SKU#:67220,Grape
240,SKU#:67220,Cherry
1169,SKU#:67220p6,None
242,SKU#:67220p6,Cherry
551,SKU#:67220p6,Grape
2095,SKU#:67225,None
241,SKU#:67225,Grape
550,SKU#:67225,Cherry
862,SKU#:67225p6,None
244,SKU#:67225p6,Grape
553,SKU#:67225p6,Cherry
3358,SKU#:67247,nan
3058,SKU#:67249,nan
581,SKU#:67254,nan
3048,SKU#:67257,nan
1518,SKU#:67260,nan
3678,SKU#:67263,nan
3668,SKU#:67272,nan
3672,SKU#:67276,nan
2444,SKU#:67278,nan
1343,SKU#:67281,nan
3277,SKU#:67285p80,nan
1734,SKU#:67287p80,nan
580,SKU#:67298,nan
2500,SKU#:67317,nan
3110,SKU#:67317e,nan
2806,SKU#:67319,nan
27,SKU#:67319e,nan
2279,SKU#:67330,nan
786,SKU#:67374,nan
2635,SKU#:67378,nan
3872,SKU#:67401,nan
2020,SKU#:67403,nan
2950,SKU#:67407,nan
482,SKU#:67411,nan
2646,SKU#:67413,nan
2328,SKU#:67417,nan
2990,SKU#:67426,None
209,SKU#:67426,Orange Breeze
827,SKU#:67426,Strawberry Freeze
518,SKU#:67426,Berry Frost
1136,SKU#:67426,Variety - Berry Frost & Strawberry Freeze
2356,SKU#:67426p6,None
193,SKU#:67426p6,Orange Breeze
811,SKU#:67426p6,Strawberry Freeze
502,SKU#:67426p6,Berry Frost
1120,SKU#:67426p6,Variety - Berry Frost & Strawberry Freeze
1119,SKU#:67434,Iced Grape
1737,SKU#:67434,None
501,SKU#:67434,Berry Frost
810,SKU#:67434,Kiwi Berry Mist
192,SKU#:67434,Orange Breeze
1428,SKU#:67434,Chilled Cherry Pomegranate
536,SKU#:67434e,Berry Frost
845,SKU#:67434e,Kiwi Berry Mist
227,SKU#:67434e,Orange Breeze
2390,SKU#:67434e,None
1463,SKU#:67434e,Chilled Cherry Pomegranate
1154,SKU#:67434e,Iced Grape
2783,SKU#:67436,nan
1549,SKU#:67438,nan
2481,SKU#:67440,nan
1553,SKU#:67442,nan
755,SKU#:67450,nan
135,SKU#:67453,nan
3599,SKU#:67461,None
1127,SKU#:67461,Strawberry
1745,SKU#:67461,Bubble Gum
1436,SKU#:67461,Grape
818,SKU#:67461,Unflavored
200,SKU#:67461,Coconut Burst
509,SKU#:67461,Mixed Fruit
3638,SKU#:67461e,None
1166,SKU#:67461e,Strawberry
1784,SKU#:67461e,Bubble Gum
857,SKU#:67461e,Unflavored
548,SKU#:67461e,Mixed Fruit
239,SKU#:67461e,Coconut Burst
1475,SKU#:67461e,Grape
3064,SKU#:67463,nan
3984,SKU#:67466,nan
2920,SKU#:67472,nan
3849,SKU#:67475,nan
3374,SKU#:67495,None
902,SKU#:67495,Fruity Cereal
593,SKU#:67495,Birthday Cake
284,SKU#:67495,White Chocolate Peanut Butter
1846,SKU#:67495p12,None
919,SKU#:67495p12,Fruity Cereal
301,SKU#:67495p12,White Chocolate Peanut Butter
610,SKU#:67495p12,Birthday Cake
3673,SKU#:67500,None
583,SKU#:67500,White Chocolate Peanut Butter
892,SKU#:67500,Fruity Cereal
274,SKU#:67500,Birthday Cake
4007,SKU#:67500p12,None
917,SKU#:67500p12,Fruity Cereal
608,SKU#:67500p12,White Chocolate Peanut Butter
299,SKU#:67500p12,Birthday Cake
1523,SKU#:67510,None
905,SKU#:67510,Birthday Cake
287,SKU#:67510,Fruity Cereal
596,SKU#:67510,White Chocolate Peanut Butter
1847,SKU#:67510p12,None
920,SKU#:67510p12,Birthday Cake
302,SKU#:67510p12,Fruity Cereal
611,SKU#:67510p12,White Chocolate Peanut Butter
3569,SKU#:67612,nan
3275,SKU#:7037301,nan
1733,SKU#:7037401p5,nan
3886,SKU#:7085102,nan
3575,SKU#:7157775,nan
3880,SKU#:7157975,nan
3889,SKU#:7158201,nan
484,SKU#:7161301,nan
3578,SKU#:7517583,nan
2952,SKU#:FSMTS50,nan
