item_id,flavour
62836,Salted Caramel Brownie
62836,Chocolate Peanut Butter
62836,Chocolate Chip Cookie Dough
62836p12,Fudge Graham
62836p12,Dark Chocolate Almond
62836p12,Chocolate Mint
62836p12,Cinnamon Roll
62836p12,Sweet & Salty Cashew Pretzel
62836p12,Strawberry Yogurt
62836p12,Chocolate Chip Cookie Dough
62836p12,Chocolate Almond Raisin
62836p12,Salted Caramel Brownie
62836p12,Double Dark Chocolate
62836p12,Oatmeal Chocolate Chunk
62836p12,Chocolate Peanut Butter
62882,None
62882,Creamy Strawberry
62882,Rich Chocolate
62882,Homemade Vanilla
62885,None
62885,Rich Chocolate
62885,Creamy Strawberry
62885,Homemade Vanilla
62951,nan
62951e,nan
63013,nan
63013e,nan
63057,None
63057,Strawberry Lemonade
63057,Blue Raspberry
63057,Cherry Punch
63057,Tropical Fruit
63057e,Cherry Punch
63057e,Strawberry Lemonade
63057e,None
63057e,Tropical Fruit
63057e,Blue Raspberry
63059,Strawberry Lemonade
63059,None
63059,Tropical Fruit
63059,Cherry Punch
63059,Blue Raspberry
63059e,None
63059e,Tropical Fruit
63059e,Blue Raspberry
63059e,Strawberry Lemonade
63059e,Cherry Punch
63161,Chocolate Almond Raisin
63161,Chocolate Peanut Butter
63161,Strawberry Yogurt
63161,Chocolate Chip Cookie Dough
63161,Fudge Graham
63161,Salted Caramel Brownie
63161,Double Dark Chocolate
63161,Dark Chocolate Almond
63161,Chocolate Mint
63161,Cinnamon Roll
63161,Oatmeal Chocolate Chunk
63161,Sweet & Salty Cashew Pretzel
63161p12,Strawberry Yogurt
63161p12,Chocolate Chip Cookie Dough
63161p12,Salted Caramel Brownie
63161p12,Sweet & Salty Cashew Pretzel
63161p12,Cinnamon Roll
63161p12,Oatmeal Chocolate Chunk
63161p12,Chocolate Peanut Butter
63161p12,Fudge Graham
63161p12,Chocolate Mint
63161p12,Dark Chocolate Almond
63161p12,Double Dark Chocolate
63161p12,Chocolate Almond Raisin
63214,Strawberry Yogurt
63214,Chocolate Chip Cookie Dough
63214,Chocolate Mint
63214,Fudge Graham
63214,Chocolate Peanut Butter
63214,Oatmeal Chocolate Chunk
63214,Dark Chocolate Almond
63214,Sweet & Salty Cashew Pretzel
63214,Cinnamon Roll
63214,Double Dark Chocolate
63214,Salted Caramel Brownie
63214,Chocolate Almond Raisin
63214p12,Sweet & Salty Cashew Pretzel
63214p12,Chocolate Peanut Butter
63214p12,Chocolate Chip Cookie Dough
63214p12,Salted Caramel Brownie
63214p12,Cinnamon Roll
63214p12,Dark Chocolate Almond
63214p12,Chocolate Almond Raisin
63214p12,Chocolate Mint
63214p12,Strawberry Yogurt
63214p12,Fudge Graham
63214p12,Double Dark Chocolate
63214p12,Oatmeal Chocolate Chunk
63225,Salted Caramel Brownie
63225,Chocolate Peanut Butter
63225,Strawberry Yogurt
63225,Chocolate Chip Cookie Dough
63225,Oatmeal Chocolate Chunk
63225,Chocolate Almond Raisin
63225,Fudge Graham
63225,Sweet & Salty Cashew Pretzel
63225,Dark Chocolate Almond
63225,Double Dark Chocolate
63225,Cinnamon Roll
63225,Chocolate Mint
63225p12,Chocolate Peanut Butter
63225p12,Oatmeal Chocolate Chunk
63225p12,Chocolate Mint
63225p12,Double Dark Chocolate
63225p12,Cinnamon Roll
63225p12,Sweet & Salty Cashew Pretzel
63225p12,Salted Caramel Brownie
63225p12,Dark Chocolate Almond
63225p12,Chocolate Almond Raisin
63225p12,Strawberry Yogurt
63225p12,Fudge Graham
63225p12,Chocolate Chip Cookie Dough
63259,Chocolate Chip Cookie Dough
63259,Double Dark Chocolate
63259,Dark Chocolate Almond
63259,Salted Caramel Brownie
63259,Cinnamon Roll
63259,Chocolate Peanut Butter
63259,Fudge Graham
63259,Oatmeal Chocolate Chunk
63259,Sweet & Salty Cashew Pretzel
63259,Strawberry Yogurt
63259,Chocolate Almond Raisin
63259,Chocolate Mint
63259p12,Chocolate Chip Cookie Dough
63259p12,Dark Chocolate Almond
63259p12,Strawberry Yogurt
63259p12,Oatmeal Chocolate Chunk
63259p12,Cinnamon Roll
63259p12,Chocolate Mint
63259p12,Chocolate Almond Raisin
63259p12,Double Dark Chocolate
63259p12,Fudge Graham
63259p12,Salted Caramel Brownie
63259p12,Sweet & Salty Cashew Pretzel
63259p12,Chocolate Peanut Butter
63269,nan
63282,Cinnamon Roll
63282,Double Dark Chocolate
63282,Salted Caramel Brownie
63282,Oatmeal Chocolate Chunk
63282,Chocolate Almond Raisin
63282,Sweet & Salty Cashew Pretzel
63282,Strawberry Yogurt
63282,Chocolate Mint
63282,Dark Chocolate Almond
63282,Chocolate Peanut Butter
63282,Chocolate Chip Cookie Dough
63282,Fudge Graham
63282p12,Strawberry Yogurt
63282p12,Chocolate Peanut Butter
63282p12,Cinnamon Roll
63282p12,Chocolate Chip Cookie Dough
63282p12,Sweet & Salty Cashew Pretzel
63282p12,Chocolate Mint
63282p12,Oatmeal Chocolate Chunk
63282p12,Salted Caramel Brownie
63282p12,Fudge Graham
63282p12,Dark Chocolate Almond
63282p12,Double Dark Chocolate
63282p12,Chocolate Almond Raisin
63299,Oatmeal Chocolate Chunk
63299,Chocolate Almond Raisin
63299,Dark Chocolate Almond
63299,Chocolate Chip Cookie Dough
63299,Sweet & Salty Cashew Pretzel
63299,Salted Caramel Brownie
63299,Double Dark Chocolate
63299,Chocolate Mint
63299,Chocolate Peanut Butter
63299,Cinnamon Roll
63299,Fudge Graham
63299,Strawberry Yogurt
63299p12,Chocolate Chip Cookie Dough
63299p12,Strawberry Yogurt
63299p12,Salted Caramel Brownie
63299p12,Dark Chocolate Almond
63299p12,Sweet & Salty Cashew Pretzel
63299p12,Double Dark Chocolate
63299p12,Chocolate Mint
63299p12,Cinnamon Roll
63299p12,Oatmeal Chocolate Chunk
63299p12,Fudge Graham
63299p12,Chocolate Peanut Butter
63299p12,Chocolate Almond Raisin
63304,Chocolate Chip Cookie Dough
63304,Fudge Graham
63304,Chocolate Mint
63304,Double Dark Chocolate
63304,Dark Chocolate Almond
63304,Strawberry Yogurt
63304,Sweet & Salty Cashew Pretzel
63304,Cinnamon Roll
63304,Chocolate Peanut Butter
63304,Salted Caramel Brownie
63304,Chocolate Almond Raisin
63304,Oatmeal Chocolate Chunk
63304p12,Chocolate Peanut Butter
63304p12,Cinnamon Roll
63304p12,Chocolate Mint
63304p12,Chocolate Chip Cookie Dough
63304p12,Oatmeal Chocolate Chunk
63304p12,Double Dark Chocolate
63304p12,Salted Caramel Brownie
63304p12,Chocolate Almond Raisin
63304p12,Fudge Graham
63304p12,Strawberry Yogurt
63304p12,Sweet & Salty Cashew Pretzel
63304p12,Dark Chocolate Almond
63305,Strawberry Yogurt
63305,Salted Caramel Brownie
63305,Cinnamon Roll
63305,Chocolate Almond Raisin
63305,Sweet & Salty Cashew Pretzel
63305,Oatmeal Chocolate Chunk
63305,Chocolate Chip Cookie Dough
63305,Fudge Graham
63305,Chocolate Mint
63305,Double Dark Chocolate
63305,Dark Chocolate Almond
63305,Chocolate Peanut Butter
63309,Fudge Graham
63309,Chocolate Almond Raisin
63309,Chocolate Mint
63309,Salted Caramel Brownie
63309,Oatmeal Chocolate Chunk
63309,Sweet & Salty Cashew Pretzel
63309,Chocolate Peanut Butter
63309,Double Dark Chocolate
63309,Dark Chocolate Almond
63309,Strawberry Yogurt
63309,Cinnamon Roll
63309,Chocolate Chip Cookie Dough
63309p12,Salted Caramel Brownie
63309p12,Strawberry Yogurt
63309p12,Sweet & Salty Cashew Pretzel
63309p12,Chocolate Mint
