Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin A, mcg RAE : 200",200.0,
"Vitamin D, mcg : 5.9",5.9,
"Vitamin E, mg : 3.7",3.7,
"Vitamin K, mcg : 24",24.0,
"Vitamin C, mg : 36",36.0,
"Folate, mcg DFE : 180",180.0,
"Folic Acid, mcg : 107",107.0,
"Thiamin (Vitamin B1), mg : 1.0",1.0,
"Riboflavin (Vitamin B2), mg : 0.80",0.8,
"Vitamin B6, mg : 1.0",1.0,
"Vitamin B12, mcg : 2.1",2.1,
"Niacin, mg NE : 7.6",7.6,
"Choline, mg : 120",120.0,
"Biotin, mcg : 30",30.0,
"Pantothenic Acid, mg : 3.6",3.6,
"Inositol, mg : 47",47.0,
