,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, mcg RAE : 140",140.0,
1,"Vitamin D, mcg : 6.0",6.0,
2,"Vitamin E, mg : 3.0",3.0,
3,"Vitamin K, mcg : 18",18.0,
4,"Vitamin C, mg : 23",23.0,
5,"Folate, mcg DFE : 60",60.0,
6,"Folic Acid, mcg : 36",36.0,
7,"Thiamin (Vitamin B1), mg : 0.30",0.3,
8,"Riboflavin (Vitamin B2), mg : 0.33",0.33,
9,"Vitamin B6, mg : 0.34",0.34,
10,"Vitamin B12, mcg : 0.48",0.48,
11,"Choline, mg : 80",80.0,
12,"Niacin, mg NE : 3.2",3.2,
13,"Biotin, mcg : 8",8.0,
14,"Pantothenic Acid, mg : 1.3",1.3,
15,"Inositol, mg : 20",20.0,
